"","X","Date.Rptd","DR.NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","RD","Crm.Cd","Crm.Cd.Desc","Status","Status.Desc","LOCATION","Cross.Street","Location.1","latlong","lat","long","DateGone","MonthGone","Shade","lat.1","long.1","Shade1"
"322",322,"01/02/2014",140104098,"01/02/2014",730,1,"Central",161,480,"BIKE - STOLEN","AA","Adult Arrest","  700      S  FIGUEROA                     ST","","(34.0494, -118.2599)","34.0494, -118.2599",34.0494,-118.2599,2014-01-02,"January","#80B1D3",34.0494,-118.2599,"#FB9A99"
"323",323,"06/28/2014",140314662,"06/28/2014",930,3,"Southwest",319,480,"BIKE - STOLEN","IC","Invest Cont","              ADAMS                        ST","   FLOWER                       ST","(34.0305, -118.2811)","34.0305, -118.2811",34.0305,-118.2811,2014-06-28,"June","#B3DE69",34.0305,-118.2811,"#FDBF6F"
"324",324,"06/30/2014",140810673,"06/28/2014",235,8,"West LA",836,480,"BIKE - STOLEN","IC","Invest Cont"," 1800         THAYER                       AV","","(34.0554, -118.4266)","34.0554, -118.4266",34.0554,-118.4266,2014-06-28,"June","#B3DE69",34.0554,-118.4266,"#FDBF6F"
"325",325,"06/30/2014",141112660,"06/28/2014",1930,11,"Northeast",1135,480,"BIKE - STOLEN","IC","Invest Cont"," 2100      W  AVENUE 33","","(34.1051, -118.2313)","34.1051, -118.2313",34.1051,-118.2313,2014-06-28,"June","#B3DE69",34.1051,-118.2313,"#FDBF6F"
"326",326,"01/15/2014",142004626,"01/02/2014",1300,20,"Olympic",2013,480,"BIKE - STOLEN","IC","Invest Cont","  200      S  SERRANO                      AV","","(34.0712, -118.3067)","34.0712, -118.3067",34.0712,-118.3067,2014-01-02,"January","#80B1D3",34.0712,-118.3067,"#FB9A99"
"327",327,"07/17/2014",142013349,"06/28/2014",1000,20,"Olympic",2036,480,"BIKE - STOLEN","IC","Invest Cont"," 3200         WILSHIRE                     BL","","(34.0618, -118.2916)","34.0618, -118.2916",34.0618,-118.2916,2014-06-28,"June","#B3DE69",34.0618,-118.2916,"#FDBF6F"
"328",328,"06/29/2014",142112032,"06/28/2014",1750,21,"Topanga",2187,480,"BIKE - STOLEN","IC","Invest Cont","21000         VENTURA                      BL","","(34.1667, -118.5908)","34.1667, -118.5908",34.1667,-118.5908,2014-06-28,"June","#B3DE69",34.1667,-118.5908,"#FDBF6F"
"329",329,"06/30/2014",140115601,"06/27/2014",800,1,"Central",182,480,"BIKE - STOLEN","IC","Invest Cont","  700      W  OLYMPIC                      BL","","(34.0444, -118.2628)","34.0444, -118.2628",34.0444,-118.2628,2014-06-27,"June","#B3DE69",34.0444,-118.2628,"#FDBF6F"
"330",330,"07/01/2014",140115620,"06/27/2014",2000,1,"Central",158,480,"BIKE - STOLEN","IC","Invest Cont","  500         STANFORD                     AV","","(34.0426, -118.2412)","34.0426, -118.2412",34.0426,-118.2412,2014-06-27,"June","#B3DE69",34.0426,-118.2412,"#FDBF6F"
"331",331,"06/27/2014",140314580,"06/27/2014",1200,3,"Southwest",325,480,"BIKE - STOLEN","IC","Invest Cont"," 2900      S  VERMONT                      AV","","(34.0287, -118.2915)","34.0287, -118.2915",34.0287,-118.2915,2014-06-27,"June","#B3DE69",34.0287,-118.2915,"#FDBF6F"
"332",332,"06/28/2014",140614455,"06/27/2014",1730,6,"Hollywood",656,480,"BIKE - STOLEN","IC","Invest Cont","              SANTA MONICA                 BL","   VINE                         ST","(34.0907, -118.3328)","34.0907, -118.3328",34.0907,-118.3328,2014-06-27,"June","#B3DE69",34.0907,-118.3328,"#FDBF6F"
"333",333,"06/28/2014",140810622,"06/27/2014",1500,8,"West LA",884,480,"BIKE - STOLEN","IC","Invest Cont","10800      W  PICO                         BL","","(34.0406, -118.4275)","34.0406, -118.4275",34.0406,-118.4275,2014-06-27,"June","#B3DE69",34.0406,-118.4275,"#FDBF6F"
"334",334,"06/27/2014",141513221,"06/27/2014",1740,15,"N Hollywood",1569,480,"BIKE - STOLEN","IC","Invest Cont","10500         RIVERSIDE                    DR","","(34.1522, -118.3593)","34.1522, -118.3593",34.1522,-118.3593,2014-06-27,"June","#B3DE69",34.1522,-118.3593,"#FDBF6F"
"335",335,"01/02/2014",142004050,"01/01/2014",2000,20,"Olympic",2027,480,"BIKE - STOLEN","IC","Invest Cont"," 3500      W  6TH                          ST","","(34.0636, -118.2979)","34.0636, -118.2979",34.0636,-118.2979,2014-01-01,"January","#80B1D3",34.0636,-118.2979,"#FB9A99"
"336",336,"07/10/2014",140213884,"06/26/2014",1,2,"Rampart",245,480,"BIKE - STOLEN","IC","Invest Cont","              ALVARADO","   7TH                          ST","(34.0565, -118.2768)","34.0565, -118.2768",34.0565,-118.2768,2014-06-26,"June","#B3DE69",34.0565,-118.2768,"#FDBF6F"
"337",337,"06/26/2014",140614278,"06/26/2014",1520,6,"Hollywood",645,480,"BIKE - STOLEN","IC","Invest Cont","              ORANGE","   SUNSET","(34.098, -118.3416)","34.098, -118.3416",34.098,-118.3416,2014-06-26,"June","#B3DE69",34.098,-118.3416,"#FDBF6F"
"338",338,"07/31/2014",140616534,"06/26/2014",2000,6,"Hollywood",666,480,"BIKE - STOLEN","IC","Invest Cont"," 6200         LA MIRADA                    AV","","(34.0935, -118.3245)","34.0935, -118.3245",34.0935,-118.3245,2014-06-26,"June","#B3DE69",34.0935,-118.3245,"#FDBF6F"
"339",339,"06/26/2014",141112433,"06/26/2014",1600,11,"Northeast",1134,480,"BIKE - STOLEN","IC","Invest Cont"," 2200         CAZADOR                      DR","","(34.1056, -118.2326)","34.1056, -118.2326",34.1056,-118.2326,2014-06-26,"June","#B3DE69",34.1056,-118.2326,"#FDBF6F"
"340",340,"06/28/2014",140810617,"06/25/2014",1700,8,"West LA",832,480,"BIKE - STOLEN","IC","Invest Cont","11800         DARLINGTON                   AV","","(34.0512, -118.4658)","34.0512, -118.4658",34.0512,-118.4658,2014-06-25,"June","#B3DE69",34.0512,-118.4658,"#FDBF6F"
"341",341,"06/25/2014",141011358,"06/25/2014",1200,10,"West Valley",1021,480,"BIKE - STOLEN","IC","Invest Cont","              VANOWEN                      ST","   TAMPA                        AV","(34.1938, -118.5601)","34.1938, -118.5601",34.1938,-118.5601,2014-06-25,"June","#B3DE69",34.1938,-118.5601,"#FDBF6F"
"342",342,"06/25/2014",142012257,"06/25/2014",1255,20,"Olympic",2046,480,"BIKE - STOLEN","AA","Adult Arrest","  900      S  KENMORE                      AV","","(34.0559, -118.2965)","34.0559, -118.2965",34.0559,-118.2965,2014-06-25,"June","#B3DE69",34.0559,-118.2965,"#FDBF6F"
"343",343,"06/25/2014",140115247,"06/24/2014",1700,1,"Central",176,480,"BIKE - STOLEN","IC","Invest Cont","  700      S  LOS ANGELES                  ST","","(34.0433, -118.2504)","34.0433, -118.2504",34.0433,-118.2504,2014-06-24,"June","#B3DE69",34.0433,-118.2504,"#FDBF6F"
"344",344,"06/24/2014",140212983,"06/24/2014",235,2,"Rampart",221,480,"BIKE - STOLEN","IC","Invest Cont","              BEVERLY                      BL","   MADISON","(34.0763, -118.2999)","34.0763, -118.2999",34.0763,-118.2999,2014-06-24,"June","#B3DE69",34.0763,-118.2999,"#FDBF6F"
"345",345,"06/27/2014",140213254,"06/24/2014",1530,2,"Rampart",217,480,"BIKE - STOLEN","IC","Invest Cont","  400         BELMONT                      AV","","(34.0687, -118.2632)","34.0687, -118.2632",34.0687,-118.2632,2014-06-24,"June","#B3DE69",34.0687,-118.2632,"#FDBF6F"
"346",346,"07/03/2014",140213536,"06/24/2014",2100,2,"Rampart",204,480,"BIKE - STOLEN","IC","Invest Cont"," 1300         MALTMAN                      AV","","(34.0869, -118.2787)","34.0869, -118.2787",34.0869,-118.2787,2014-06-24,"June","#B3DE69",34.0869,-118.2787,"#FDBF6F"
"347",347,"06/24/2014",140614211,"06/24/2014",20,6,"Hollywood",626,480,"BIKE - STOLEN","IC","Invest Cont"," 6300         PRIMROSE                     AV","","(34.1098, -118.3267)","34.1098, -118.3267",34.1098,-118.3267,2014-06-24,"June","#B3DE69",34.1098,-118.3267,"#FDBF6F"
"348",348,"06/24/2014",141112350,"06/24/2014",1745,11,"Northeast",1138,480,"BIKE - STOLEN","IC","Invest Cont"," 5900         YORK                         BL","","(34.1184, -118.1908)","34.1184, -118.1908",34.1184,-118.1908,2014-06-24,"June","#B3DE69",34.1184,-118.1908,"#FDBF6F"
"349",349,"06/24/2014",141112351,"06/24/2014",900,11,"Northeast",1117,480,"BIKE - STOLEN","IC","Invest Cont"," 1600      E  CAMPUS                       RD","","(34.1261, -118.2142)","34.1261, -118.2142",34.1261,-118.2142,2014-06-24,"June","#B3DE69",34.1261,-118.2142,"#FDBF6F"
"350",350,"06/25/2014",141112357,"06/24/2014",1745,11,"Northeast",1146,480,"BIKE - STOLEN","IC","Invest Cont"," 1800         RIPPLE                       ST","","(34.0986, -118.2449)","34.0986, -118.2449",34.0986,-118.2449,2014-06-24,"June","#B3DE69",34.0986,-118.2449,"#FDBF6F"
"351",351,"06/26/2014",141112431,"06/24/2014",1200,11,"Northeast",1151,480,"BIKE - STOLEN","IC","Invest Cont"," 1300      N  CATALINA                     ST","","(34.0955, -118.295)","34.0955, -118.295",34.0955,-118.295,2014-06-24,"June","#B3DE69",34.0955,-118.295,"#FDBF6F"
"352",352,"06/24/2014",141711564,"06/24/2014",1015,17,"Devonshire",1764,480,"BIKE - STOLEN","IC","Invest Cont","              TAMPA                        AV","   PLUMMER                      ST","(34.234, -118.5536)","34.234, -118.5536",34.234,-118.5536,2014-06-24,"June","#B3DE69",34.234,-118.5536,"#FDBF6F"
"353",353,"06/25/2014",142012207,"06/24/2014",2240,20,"Olympic",2069,480,"BIKE - STOLEN","IC","Invest Cont"," 1000      S  HOOVER                       ST","","(34.0524, -118.2842)","34.0524, -118.2842",34.0524,-118.2842,2014-06-24,"June","#B3DE69",34.0524,-118.2842,"#FDBF6F"
"354",354,"06/23/2014",140115106,"06/23/2014",715,1,"Central",124,480,"BIKE - STOLEN","IC","Invest Cont","  100      W  1ST                          ST","","(34.0522, -118.2434)","34.0522, -118.2434",34.0522,-118.2434,2014-06-23,"June","#B3DE69",34.0522,-118.2434,"#FDBF6F"
"355",355,"06/23/2014",140314318,"06/23/2014",337,3,"Southwest",328,480,"BIKE - STOLEN","AA","Adult Arrest","  700      W  32ND                         ST","","(34.0243, -118.2806)","34.0243, -118.2806",34.0243,-118.2806,2014-06-23,"June","#B3DE69",34.0243,-118.2806,"#FDBF6F"
"356",356,"06/23/2014",140614096,"06/23/2014",100,6,"Hollywood",676,480,"BIKE - STOLEN","IC","Invest Cont","  800         WILCOX                       AV","","(34.0853, -118.331)","34.0853, -118.331",34.0853,-118.331,2014-06-23,"June","#B3DE69",34.0853,-118.331,"#FDBF6F"
"357",357,"06/23/2014",141512989,"06/23/2014",1150,15,"N Hollywood",1516,480,"BIKE - STOLEN","IC","Invest Cont","              KITTRIDGE                    ST","   LANKERSHIM                   BL","(34.1903, -118.3872)","34.1903, -118.3872",34.1903,-118.3872,2014-06-23,"June","#B3DE69",34.1903,-118.3872,"#FDBF6F"
"358",358,"06/23/2014",141513020,"06/23/2014",1530,15,"N Hollywood",1569,480,"BIKE - STOLEN","IC","Invest Cont","10100         RIVERSIDE                    DR","","(34.1522, -118.3506)","34.1522, -118.3506",34.1522,-118.3506,2014-06-23,"June","#B3DE69",34.1522,-118.3506,"#FDBF6F"
"359",359,"06/26/2014",140213179,"06/22/2014",1600,2,"Rampart",218,480,"BIKE - STOLEN","IC","Invest Cont","              ECHO PARK                    AV","   BELLEVUE                     AV","(34.0713, -118.2597)","34.0713, -118.2597",34.0713,-118.2597,2014-06-22,"June","#B3DE69",34.0713,-118.2597,"#FDBF6F"
"360",360,"06/21/2014",140115052,"06/21/2014",1400,1,"Central",145,480,"BIKE - STOLEN","IC","Invest Cont","  400      S  MAIN                         ST","","(34.0482, -118.2472)","34.0482, -118.2472",34.0482,-118.2472,2014-06-21,"June","#B3DE69",34.0482,-118.2472,"#FDBF6F"
"361",361,"06/23/2014",140115102,"06/21/2014",2230,1,"Central",139,480,"BIKE - STOLEN","IC","Invest Cont","  300         MERRICK                      ST","","(34.0439, -118.2337)","34.0439, -118.2337",34.0439,-118.2337,2014-06-21,"June","#B3DE69",34.0439,-118.2337,"#FDBF6F"
"362",362,"06/21/2014",140710589,"06/21/2014",1100,7,"Wilshire",736,480,"BIKE - STOLEN","IC","Invest Cont","  400      S  DETROIT                      ST","","(34.0669, -118.3451)","34.0669, -118.3451",34.0669,-118.3451,2014-06-21,"June","#B3DE69",34.0669,-118.3451,"#FDBF6F"
"363",363,"06/24/2014",140115122,"06/20/2014",1030,1,"Central",152,480,"BIKE - STOLEN","IC","Invest Cont","  600      W  5TH                          ST","","(34.0502, -118.254)","34.0502, -118.254",34.0502,-118.254,2014-06-20,"June","#B3DE69",34.0502,-118.254,"#FDBF6F"
"364",364,"06/20/2014",140710552,"06/20/2014",2010,7,"Wilshire",766,480,"BIKE - STOLEN","AA","Adult Arrest"," 1300         CRENSHAW                     BL","","(34.0478, -118.3267)","34.0478, -118.3267",34.0478,-118.3267,2014-06-20,"June","#B3DE69",34.0478,-118.3267,"#FDBF6F"
"365",365,"06/20/2014",140912086,"06/20/2014",105,9,"Van Nuys",969,480,"BIKE - STOLEN","IC","Invest Cont","12700         RIVERSIDE                    DR","","(34.1576, -118.4103)","34.1576, -118.4103",34.1576,-118.4103,2014-06-20,"June","#B3DE69",34.1576,-118.4103,"#FDBF6F"
"366",366,"06/21/2014",141112208,"06/20/2014",2000,11,"Northeast",1136,480,"BIKE - STOLEN","IC","Invest Cont"," 4300         EAGLE ROCK                   BL","","(34.1227, -118.2233)","34.1227, -118.2233",34.1227,-118.2233,2014-06-20,"June","#B3DE69",34.1227,-118.2233,"#FDBF6F"
"367",367,"06/20/2014",141711405,"06/20/2014",930,17,"Devonshire",1743,480,"BIKE - STOLEN","IC","Invest Cont","18600         DEVONSHIRE                   ST","","(34.2573, -118.5383)","34.2573, -118.5383",34.2573,-118.5383,2014-06-20,"June","#B3DE69",34.2573,-118.5383,"#FDBF6F"
"368",368,"06/19/2014",140114897,"06/19/2014",1900,1,"Central",138,480,"BIKE - STOLEN","IC","Invest Cont","              3RD                          ST","   ALAMEDA","(34.0483, -118.2443)","34.0483, -118.2443",34.0483,-118.2443,2014-06-19,"June","#B3DE69",34.0483,-118.2443,"#FDBF6F"
"369",369,"06/19/2014",140410534,"06/19/2014",835,4,"Hollenbeck",477,480,"BIKE - STOLEN","IC","Invest Cont"," 2500      E  6TH                          ST","","(34.037, -118.2127)","34.037, -118.2127",34.037,-118.2127,2014-06-19,"June","#B3DE69",34.037,-118.2127,"#FDBF6F"
"370",370,"06/20/2014",140613947,"06/19/2014",420,6,"Hollywood",645,480,"BIKE - STOLEN","IC","Invest Cont"," 6800         HOLLYWOOD                    BL","","(34.1016, -118.3387)","34.1016, -118.3387",34.1016,-118.3387,2014-06-19,"June","#B3DE69",34.1016,-118.3387,"#FDBF6F"
"371",371,"06/21/2014",140613992,"06/19/2014",1500,6,"Hollywood",644,480,"BIKE - STOLEN","IC","Invest Cont"," 7100      W  SUNSET                       BL","","(34.098, -118.3441)","34.098, -118.3441",34.098,-118.3441,2014-06-19,"June","#B3DE69",34.098,-118.3441,"#FDBF6F"
"372",372,"06/19/2014",141112115,"06/19/2014",1030,11,"Northeast",1145,480,"BIKE - STOLEN","IC","Invest Cont"," 2000         RIVERSIDE                    DR","","(34.099, -118.2491)","34.099, -118.2491",34.099,-118.2491,2014-06-19,"June","#B3DE69",34.099,-118.2491,"#FDBF6F"
"373",373,"06/19/2014",140114821,"06/18/2014",2030,1,"Central",162,480,"BIKE - STOLEN","IC","Invest Cont","  800      S  FIGUEROA                     ST","","(34.0479, -118.2612)","34.0479, -118.2612",34.0479,-118.2612,2014-06-18,"June","#B3DE69",34.0479,-118.2612,"#FDBF6F"
"374",374,"06/21/2014",140314221,"06/18/2014",830,3,"Southwest",308,480,"BIKE - STOLEN","IC","Invest Cont"," 1900         NORWOOD                      ST","","(34.0365, -118.2767)","34.0365, -118.2767",34.0365,-118.2767,2014-06-18,"June","#B3DE69",34.0365,-118.2767,"#FDBF6F"
"375",375,"06/18/2014",141512757,"06/18/2014",1600,15,"N Hollywood",1548,480,"BIKE - STOLEN","IC","Invest Cont"," 5300         LANKERSHIM                   BL","","(34.167, -118.3759)","34.167, -118.3759",34.167,-118.3759,2014-06-18,"June","#B3DE69",34.167,-118.3759,"#FDBF6F"
"376",376,"06/18/2014",141610124,"06/18/2014",1650,16,"Foothill",1602,480,"BIKE - STOLEN","IC","Invest Cont","              GLENOAKS                     BL","   VAN NUYS                     BL","(34.2794, -118.4177)","34.2794, -118.4177",34.2794,-118.4177,2014-06-18,"June","#B3DE69",34.2794,-118.4177,"#FDBF6F"
"377",377,"06/20/2014",142012008,"06/18/2014",2000,20,"Olympic",2029,480,"BIKE - STOLEN","IC","Invest Cont"," 3100         WILSHIRE                     BL","","(34.0618, -118.2891)","34.0618, -118.2891",34.0618,-118.2891,2014-06-18,"June","#B3DE69",34.0618,-118.2891,"#FDBF6F"
"378",378,"06/17/2014",140114733,"06/17/2014",2155,1,"Central",165,480,"BIKE - STOLEN","AA","Adult Arrest","              6TH                          ST","   MAPLE","(34.0443, -118.2485)","34.0443, -118.2485",34.0443,-118.2485,2014-06-17,"June","#B3DE69",34.0443,-118.2485,"#FDBF6F"
"379",379,"06/17/2014",140613773,"06/16/2014",1730,6,"Hollywood",637,480,"BIKE - STOLEN","IC","Invest Cont","              FRANKLIN                     AV","   ARGYLE                       AV","(34.1052, -118.3265)","34.1052, -118.3265",34.1052,-118.3265,2014-06-16,"June","#B3DE69",34.1052,-118.3265,"#FDBF6F"
"380",380,"06/15/2014",140114565,"06/15/2014",1530,1,"Central",143,480,"BIKE - STOLEN","IC","Invest Cont","              5TH","   BROADWAY","(33.9936, -118.4703)","33.9936, -118.4703",33.9936,-118.4703,2014-06-15,"June","#B3DE69",33.9936,-118.4703,"#FDBF6F"
"381",381,"06/15/2014",140114566,"06/15/2014",1515,1,"Central",143,480,"BIKE - STOLEN","IC","Invest Cont","              5TH","   SPRING","(34.0474, -118.2496)","34.0474, -118.2496",34.0474,-118.2496,2014-06-15,"June","#B3DE69",34.0474,-118.2496,"#FDBF6F"
"382",382,"06/16/2014",140212589,"06/15/2014",2030,2,"Rampart",275,480,"BIKE - STOLEN","IC","Invest Cont","  900      S  BONNIE BRAE                  ST","","(34.0524, -118.2765)","34.0524, -118.2765",34.0524,-118.2765,2014-06-15,"June","#B3DE69",34.0524,-118.2765,"#FDBF6F"
"383",383,"06/17/2014",140212605,"06/15/2014",2000,2,"Rampart",245,480,"BIKE - STOLEN","IC","Invest Cont","  400      S  LAKE                         ST","","(34.0621, -118.2747)","34.0621, -118.2747",34.0621,-118.2747,2014-06-15,"June","#B3DE69",34.0621,-118.2747,"#FDBF6F"
"384",384,"06/15/2014",140613677,"06/15/2014",1100,6,"Hollywood",656,480,"BIKE - STOLEN","IC","Invest Cont"," 1000         COLE                         AV","","(34.0889, -118.3299)","34.0889, -118.3299",34.0889,-118.3299,2014-06-15,"June","#B3DE69",34.0889,-118.3299,"#FDBF6F"
"385",385,"06/16/2014",140710374,"06/15/2014",1600,7,"Wilshire",776,480,"BIKE - STOLEN","IC","Invest Cont"," 1600      S  RIMPAU                       BL","","(34.0466, -118.3405)","34.0466, -118.3405",34.0466,-118.3405,2014-06-15,"June","#B3DE69",34.0466,-118.3405,"#FDBF6F"
"386",386,"06/17/2014",141111983,"06/15/2014",700,11,"Northeast",1134,480,"BIKE - STOLEN","IC","Invest Cont"," 3000         VERDUGO                      RD","","(34.1052, -118.2376)","34.1052, -118.2376",34.1052,-118.2376,2014-06-15,"June","#B3DE69",34.1052,-118.2376,"#FDBF6F"
"387",387,"06/17/2014",141112015,"06/15/2014",1200,11,"Northeast",1183,480,"BIKE - STOLEN","IC","Invest Cont"," 1500         ECHO PARK                    AV","","(34.0799, -118.2554)","34.0799, -118.2554",34.0799,-118.2554,2014-06-15,"June","#B3DE69",34.0799,-118.2554,"#FDBF6F"
"388",388,"06/22/2014",141512911,"06/15/2014",1200,15,"N Hollywood",1567,480,"BIKE - STOLEN","IC","Invest Cont","10600         WOODBRIDGE                   ST","","(34.1489, -118.3615)","34.1489, -118.3615",34.1489,-118.3615,2014-06-15,"June","#B3DE69",34.1489,-118.3615,"#FDBF6F"
"389",389,"06/15/2014",141111919,"06/14/2014",1500,11,"Northeast",1117,480,"BIKE - STOLEN","IC","Invest Cont"," 2200         ADDISON                      WY","","(34.1343, -118.2155)","34.1343, -118.2155",34.1343,-118.2155,2014-06-14,"June","#B3DE69",34.1343,-118.2155,"#FDBF6F"
"390",390,"07/28/2014",142013938,"06/14/2014",2100,20,"Olympic",2002,480,"BIKE - STOLEN","IC","Invest Cont"," 4600         BEVERLY                      BL","","(34.0763, -118.3091)","34.0763, -118.3091",34.0763,-118.3091,2014-06-14,"June","#B3DE69",34.0763,-118.3091,"#FDBF6F"
"391",391,"06/13/2014",140114488,"06/13/2014",1540,1,"Central",135,480,"BIKE - STOLEN","IC","Invest Cont","  100      W  2ND                          ST","","(34.051, -118.2445)","34.051, -118.2445",34.051,-118.2445,2014-06-13,"June","#B3DE69",34.051,-118.2445,"#FDBF6F"
"392",392,"06/14/2014",140212529,"06/13/2014",1130,2,"Rampart",203,480,"BIKE - STOLEN","IC","Invest Cont"," 4300         NORMAL                       AV","","(34.0867, -118.2892)","34.0867, -118.2892",34.0867,-118.2892,2014-06-13,"June","#B3DE69",34.0867,-118.2892,"#FDBF6F"
"393",393,"06/12/2014",140114445,"06/12/2014",2300,1,"Central",176,480,"BIKE - STOLEN","IC","Invest Cont","              8TH                          ST","   SAN JULIAN","(34.0416, -118.252)","34.0416, -118.252",34.0416,-118.252,2014-06-12,"June","#B3DE69",34.0416,-118.252,"#FDBF6F"
"394",394,"06/12/2014",140410282,"06/12/2014",1240,4,"Hollenbeck",479,480,"BIKE - STOLEN","IC","Invest Cont"," 3600         WHITTIER                     BL","","(34.0256, -118.1961)","34.0256, -118.1961",34.0256,-118.1961,2014-06-12,"June","#B3DE69",34.0256,-118.1961,"#FDBF6F"
"395",395,"06/13/2014",140613600,"06/11/2014",1745,6,"Hollywood",646,480,"BIKE - STOLEN","IC","Invest Cont","              MC CADDEN                    PL","   HAWTHORN","(34.0974, -118.338)","34.0974, -118.338",34.0974,-118.338,2014-06-11,"June","#B3DE69",34.0974,-118.338,"#FDBF6F"
"396",396,"06/10/2014",140114230,"06/10/2014",930,1,"Central",123,480,"BIKE - STOLEN","IC","Invest Cont","  100      N  BROADWAY","","(34.0537, -118.2455)","34.0537, -118.2455",34.0537,-118.2455,2014-06-10,"June","#B3DE69",34.0537,-118.2455,"#FDBF6F"
"397",397,"06/09/2014",140212256,"06/09/2014",1440,2,"Rampart",245,480,"BIKE - STOLEN","IC","Invest Cont"," 2500         OCEAN VIEW                   AV","","(34.0627, -118.2782)","34.0627, -118.2782",34.0627,-118.2782,2014-06-09,"June","#B3DE69",34.0627,-118.2782,"#FDBF6F"
"398",398,"06/12/2014",140313626,"06/09/2014",1200,3,"Southwest",357,480,"BIKE - STOLEN","IC","Invest Cont"," 1300      W  36TH                         ST","","(34.0229, -118.2974)","34.0229, -118.2974",34.0229,-118.2974,2014-06-09,"June","#B3DE69",34.0229,-118.2974,"#FDBF6F"
"399",399,"06/09/2014",141111573,"06/09/2014",910,11,"Northeast",1102,480,"BIKE - STOLEN","IC","Invest Cont"," 4100         BRUNSWICK                    AV","","(34.1268, -118.2671)","34.1268, -118.2671",34.1268,-118.2671,2014-06-09,"June","#B3DE69",34.1268,-118.2671,"#FDBF6F"
"400",400,"06/09/2014",141111615,"06/08/2014",400,11,"Northeast",1163,480,"BIKE - STOLEN","IC","Invest Cont"," 1200      N  VERMONT                      AV","","(34.0935, -118.2918)","34.0935, -118.2918",34.0935,-118.2918,2014-06-08,"June","#B3DE69",34.0935,-118.2918,"#FDBF6F"
"401",401,"06/08/2014",141214093,"06/08/2014",900,12,"77th Street",1273,480,"BIKE - STOLEN","IC","Invest Cont"," 1400      W  MANCHESTER                   AV","","(33.96, -118.3003)","33.96, -118.3003",33.96,-118.3003,2014-06-08,"June","#B3DE69",33.96,-118.3003,"#FDBF6F"
"402",402,"06/07/2014",140114062,"06/07/2014",1405,1,"Central",152,480,"BIKE - STOLEN","IC","Invest Cont","  600      W  5TH                          ST","","(34.0502, -118.254)","34.0502, -118.254",34.0502,-118.254,2014-06-07,"June","#B3DE69",34.0502,-118.254,"#FDBF6F"
"403",403,"06/17/2014",140212631,"06/07/2014",2000,2,"Rampart",219,480,"BIKE - STOLEN","IC","Invest Cont","  700      E  KENSINGTON                   RD","","(34.068, -118.2517)","34.068, -118.2517",34.068,-118.2517,2014-06-07,"June","#B3DE69",34.068,-118.2517,"#FDBF6F"
"404",404,"06/07/2014",140410075,"06/07/2014",300,4,"Hollenbeck",417,480,"BIKE - STOLEN","IC","Invest Cont"," 3700         FLORA                        AV","","(34.0805, -118.2017)","34.0805, -118.2017",34.0805,-118.2017,2014-06-07,"June","#B3DE69",34.0805,-118.2017,"#FDBF6F"
"405",405,"06/15/2014",140710365,"06/07/2014",1200,7,"Wilshire",701,480,"BIKE - STOLEN","IC","Invest Cont","  800      N  FAIRFAX                      AV","","(34.0856, -118.3614)","34.0856, -118.3614",34.0856,-118.3614,2014-06-07,"June","#B3DE69",34.0856,-118.3614,"#FDBF6F"
"406",406,"06/06/2014",140113991,"06/06/2014",500,1,"Central",156,480,"BIKE - STOLEN","AO","Adult Other","  500         WALL                         ST","","(34.0449, -118.2458)","34.0449, -118.2458",34.0449,-118.2458,2014-06-06,"June","#B3DE69",34.0449,-118.2458,"#FDBF6F"
"407",407,"06/06/2014",140212099,"06/06/2014",330,2,"Rampart",233,480,"BIKE - STOLEN","AA","Adult Arrest","  100      N  RAMPART                      BL","","(34.0695, -118.2768)","34.0695, -118.2768",34.0695,-118.2768,2014-06-06,"June","#B3DE69",34.0695,-118.2768,"#FDBF6F"
"408",408,"06/06/2014",140212120,"06/06/2014",355,2,"Rampart",281,480,"BIKE - STOLEN","IC","Invest Cont"," 1200      S  LAKE                         ST","","(34.0493, -118.2828)","34.0493, -118.2828",34.0493,-118.2828,2014-06-06,"June","#B3DE69",34.0493,-118.2828,"#FDBF6F"
"409",409,"06/06/2014",141213958,"06/06/2014",2100,12,"77th Street",1265,480,"BIKE - STOLEN","IC","Invest Cont"," 8100      S  VERMONT                      AV","","(33.9595, -118.2919)","33.9595, -118.2919",33.9595,-118.2919,2014-06-06,"June","#B3DE69",33.9595,-118.2919,"#FDBF6F"
"410",410,"06/08/2014",141213998,"06/06/2014",1800,12,"77th Street",1248,480,"BIKE - STOLEN","IC","Invest Cont","  900      W  62ND                         PL","","(33.9828, -118.2892)","33.9828, -118.2892",33.9828,-118.2892,2014-06-06,"June","#B3DE69",33.9828,-118.2892,"#FDBF6F"
"411",411,"06/05/2014",140313279,"06/05/2014",1400,3,"Southwest",363,480,"BIKE - STOLEN","IC","Invest Cont"," 4000         MARLTON                      AV","","(34.0124, -118.3378)","34.0124, -118.3378",34.0124,-118.3378,2014-06-05,"June","#B3DE69",34.0124,-118.3378,"#FDBF6F"
"412",412,"06/05/2014",140613109,"06/05/2014",2035,6,"Hollywood",645,480,"BIKE - STOLEN","IC","Invest Cont","              SUNSET                       BL","   MARATHON                     ST","(34.098, -118.3433)","34.098, -118.3433",34.098,-118.3433,2014-06-05,"June","#B3DE69",34.098,-118.3433,"#FDBF6F"
