"","X","Date.Rptd","DR.NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","RD","Crm.Cd","Crm.Cd.Desc","Status","Status.Desc","LOCATION","Cross.Street","Location.1","latlong","lat","long","DateGone","MonthGone","Shade","lat.1","long.1","Shade1"
"21",21,"08/19/2014",141713931,"08/19/2014",1800,17,"Devonshire",1754,480,"BIKE - STOLEN","IC","Invest Cont","10100         RESEDA                       BL","","(34.2533, -118.5361)","34.2533, -118.5361",34.2533,-118.5361,2014-08-19,"August","#FFFFB3",34.2533,-118.5361,"#1F78B4"
"22",22,"02/24/2014",141605907,"02/24/2014",1400,16,"Foothill",1602,480,"BIKE - STOLEN","IC","Invest Cont","12800         FILMORE                      ST","","(34.2791, -118.4115)","34.2791, -118.4115",34.2791,-118.4115,2014-02-24,"February","#FB8072",34.2791,-118.4115,"#33A02C"
"23",23,"08/19/2014",142015078,"08/19/2014",1520,20,"Olympic",2056,480,"BIKE - STOLEN","IC","Invest Cont","              PICO","   VERMONT","(34.0473, -118.2916)","34.0473, -118.2916",34.0473,-118.2916,2014-08-19,"August","#FFFFB3",34.0473,-118.2916,"#1F78B4"
"24",24,"08/19/2014",140119328,"08/18/2014",2140,1,"Central",152,480,"BIKE - STOLEN","IC","Invest Cont","              6TH                          ST","   FLOWER","(34.0507, -118.2582)","34.0507, -118.2582",34.0507,-118.2582,2014-08-18,"August","#FFFFB3",34.0507,-118.2582,"#1F78B4"
"25",25,"08/18/2014",140317873,"08/18/2014",2300,3,"Southwest",328,480,"BIKE - STOLEN","IC","Invest Cont"," 3300      S  FIGUEROA                     ST","","(34.0225, -118.2796)","34.0225, -118.2796",34.0225,-118.2796,2014-08-18,"August","#FFFFB3",34.0225,-118.2796,"#1F78B4"
"26",26,"08/19/2014",140413082,"08/18/2014",2130,4,"Hollenbeck",466,480,"BIKE - STOLEN","IC","Invest Cont","              1ST","   MATHEWS","(34.0432, -118.2085)","34.0432, -118.2085",34.0432,-118.2085,2014-08-18,"August","#FFFFB3",34.0432,-118.2085,"#1F78B4"
"27",27,"08/20/2014",141013867,"08/18/2014",1200,10,"West Valley",1044,480,"BIKE - STOLEN","IC","Invest Cont","18300         COLLINS                      ST","","(34.1749, -118.5308)","34.1749, -118.5308",34.1749,-118.5308,2014-08-18,"August","#FFFFB3",34.1749,-118.5308,"#1F78B4"
"28",28,"02/23/2014",140107726,"02/23/2014",1900,1,"Central",152,480,"BIKE - STOLEN","IC","Invest Cont","  600      W  7TH                          ST","","(34.0473, -118.2566)","34.0473, -118.2566",34.0473,-118.2566,2014-02-23,"February","#FB8072",34.0473,-118.2566,"#33A02C"
"29",29,"03/03/2014",140307454,"02/23/2014",1300,3,"Southwest",315,480,"BIKE - STOLEN","IC","Invest Cont"," 2300      W  23RD                         ST","","(34.036, -118.3148)","34.036, -118.3148",34.036,-118.3148,2014-02-23,"February","#FB8072",34.036,-118.3148,"#33A02C"
"30",30,"08/17/2014",140119269,"08/17/2014",1810,1,"Central",164,480,"BIKE - STOLEN","IC","Invest Cont","              6TH                          ST","   SPRING                       ST","(34.0458, -118.2507)","34.0458, -118.2507",34.0458,-118.2507,2014-08-17,"August","#FFFFB3",34.0458,-118.2507,"#1F78B4"
