"","indegree","outdegree","eigen","isgg","mengg","decgg","ggtot","broadgg"
"105",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"106",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"107",24,8,0.234363373849133,0,1,1,2,TRUE
"108",1,1,4.13740319083126e-19,0,0,0,0,FALSE
"109",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"110",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"111",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"112",13,6,0.155899205041219,0,0,0,0,FALSE
"113",0,3,4.76217882540983e-19,0,1,0,1,TRUE
"114",0,3,4.76217882540983e-19,0,0,1,1,TRUE
"115",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"116",0,5,4.76217882540983e-19,1,0,0,1,TRUE
"117",5,3,0.0816118332777599,0,0,1,1,TRUE
"118",12,4,0.152052461961232,0,0,0,0,FALSE
"119",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"120",0,6,4.76217882540983e-19,0,0,0,0,FALSE
"121",17,42,0.165051981754206,0,0,1,1,TRUE
"122",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"123",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"124",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"125",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"126",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"127",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"128",0,3,4.76217882540983e-19,0,1,0,1,TRUE
"129",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"130",0,6,4.76217882540983e-19,0,0,0,0,FALSE
"131",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"132",15,6,0.168921641744566,0,1,1,2,TRUE
"133",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"134",18,7,0.184498699725425,1,0,0,1,TRUE
"135",0,3,4.76217882540983e-19,0,1,0,1,TRUE
"136",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"137",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"138",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"139",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"140",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"141",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"142",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"143",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"144",10,3,0.129593158727162,0,0,0,0,FALSE
"145",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"146",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"147",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"148",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"149",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"150",0,1,4.76217882540983e-19,1,1,0,2,TRUE
"151",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"152",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"153",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"154",19,21,0.194739145361522,0,1,0,1,TRUE
"155",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"156",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"157",2,1,0.0145359807008058,0,0,0,0,FALSE
"158",7,12,0.117865482436658,0,0,0,0,FALSE
"159",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"160",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"161",1,1,6.64657139951564e-19,0,0,0,0,FALSE
"162",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"163",16,1,0.145635962376685,0,0,0,0,FALSE
"164",0,2,4.76217882540983e-19,0,1,1,2,TRUE
"165",35,13,0.136074705232472,0,0,0,0,FALSE
"166",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"167",66,4,0.334638659856538,1,0,0,1,TRUE
"168",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"169",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"170",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"171",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"172",36,13,0.225252771989644,1,0,0,1,TRUE
"173",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"174",1,2,1.50487723915179e-18,0,0,1,1,TRUE
"175",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"176",3,2,0.0199022605281352,0,0,0,0,FALSE
"177",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"178",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"179",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"180",0,2,4.76217882540983e-19,0,0,1,1,TRUE
"181",0,4,4.76217882540983e-19,0,1,0,1,TRUE
"182",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"183",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"184",17,9,0.0720864631347247,0,1,1,2,TRUE
"185",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"186",10,4,0.136432881125226,1,0,0,1,TRUE
"187",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"188",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"189",1,1,1.80217859747281e-19,0,0,0,0,FALSE
"190",0,3,4.76217882540983e-19,0,1,0,1,TRUE
"191",4,1,0.0552600020866834,0,1,1,2,TRUE
"192",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"193",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"194",4,2,0.0224126213143746,0,0,0,0,FALSE
"195",1,1,5.76361219321115e-19,0,0,0,0,FALSE
"196",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"197",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"198",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"199",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"200",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"201",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"202",1,1,6.67578465186009e-19,0,0,0,0,FALSE
"203",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"204",2,1,1.02381572958405e-20,1,1,0,2,TRUE
"205",0,5,4.76217882540983e-19,0,0,0,0,FALSE
"206",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"207",0,1,4.76217882540983e-19,1,0,1,2,TRUE
"208",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"209",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"210",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"211",4,4,0.0199022605281352,0,0,1,1,TRUE
"212",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"213",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"214",48,1,0.316939465851657,0,0,0,0,FALSE
"215",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"216",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"217",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"218",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"219",0,2,4.76217882540983e-19,1,0,1,2,TRUE
"220",0,1,4.76217882540983e-19,1,1,0,2,TRUE
"221",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"222",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"223",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"224",4,1,0.027876915876083,1,0,0,1,TRUE
"225",0,13,4.76217882540983e-19,1,1,0,2,TRUE
"226",9,0,0.157213537395491,0,0,0,0,FALSE
"227",5,4,0.106548304466136,0,0,0,0,FALSE
"228",8,3,0.119237215875612,0,0,1,1,TRUE
"229",6,1,0.0751622626148186,0,0,1,1,TRUE
"230",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"231",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"232",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"233",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"234",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"235",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"236",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"237",15,3,0.102585784371709,1,0,0,1,TRUE
"238",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"239",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"240",1,1,0,0,1,0,1,TRUE
